               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.035099,            0.035866,            0.010533,             0.44096,             0.70662,             0.53429,             0.30221,             0.03661,            0.024603,            0.014973,           0.0069948,           0.0069948,           0.0069948
                  65,            0.039423,             0.03888,            0.011939,             0.46947,             0.66901,             0.53594,              0.2885,            0.039058,            0.024637,            0.014689,           0.0069134,           0.0069134,           0.0069134
                  66,            0.041986,            0.044903,           0.0096614,               0.471,             0.70756,             0.52304,             0.29511,            0.039401,            0.024087,            0.014643,           0.0068316,           0.0068316,           0.0068316
                  67,            0.041719,            0.043336,           0.0099394,             0.48144,             0.68954,             0.52605,             0.29904,            0.039226,            0.024559,            0.014081,           0.0067495,           0.0067495,           0.0067495
                  68,            0.040412,            0.039013,            0.010438,             0.47861,             0.66549,             0.54162,             0.27582,            0.038555,            0.024737,            0.013972,           0.0066671,           0.0066671,           0.0066671
                  69,            0.040151,            0.040429,           0.0097884,             0.50145,              0.6018,             0.52475,             0.26959,            0.040338,            0.024292,            0.013941,           0.0065843,           0.0065843,           0.0065843
                  70,            0.040013,            0.045772,            0.008437,              0.4665,             0.73133,             0.54539,              0.3195,            0.037268,            0.023868,            0.013387,           0.0065013,           0.0065013,           0.0065013
                  71,            0.034671,            0.038635,           0.0091967,             0.43244,             0.74014,             0.54288,             0.32767,            0.033834,            0.024213,            0.013204,           0.0064181,           0.0064181,           0.0064181
                  72,            0.034304,            0.041219,           0.0091878,              0.5007,             0.62218,             0.58663,             0.34733,            0.036235,            0.024465,             0.01266,           0.0063347,           0.0063347,           0.0063347
                  73,            0.034597,            0.043228,           0.0087788,             0.56425,             0.66265,             0.59769,             0.34664,            0.035548,            0.023952,             0.01253,           0.0062512,           0.0062512,           0.0062512
                  74,            0.035715,            0.041077,           0.0091216,             0.56592,             0.72958,             0.60169,             0.36783,            0.034604,            0.023605,            0.012513,           0.0061675,           0.0061675,           0.0061675
                  75,            0.040458,            0.042609,           0.0075632,             0.60642,             0.66549,             0.61178,             0.33443,            0.037618,            0.024027,            0.012632,           0.0060838,           0.0060838,           0.0060838
                  76,            0.039299,            0.051195,           0.0080368,             0.59708,             0.64789,             0.59975,             0.35133,            0.036746,            0.024097,            0.012969,               0.006,               0.006,               0.006
                  77,            0.036612,            0.040782,            0.007375,             0.58254,              0.7147,             0.62208,             0.36179,            0.034668,             0.02347,            0.012882,           0.0059162,           0.0059162,           0.0059162
                  78,            0.034701,            0.033663,           0.0070627,             0.60351,             0.66141,             0.59342,             0.33548,            0.035818,            0.024143,             0.01291,           0.0058325,           0.0058325,           0.0058325
                  79,            0.035741,            0.040313,           0.0078365,             0.56671,             0.74697,             0.62197,             0.34611,            0.037291,            0.024275,            0.012531,           0.0057488,           0.0057488,           0.0057488
                  80,            0.033289,            0.033967,           0.0062216,             0.53777,             0.78603,             0.61512,             0.37008,            0.033869,            0.024063,               0.012,           0.0056653,           0.0056653,           0.0056653
                  81,            0.032632,            0.040462,            0.006125,             0.51317,             0.81162,             0.62072,             0.38027,            0.033809,            0.024334,            0.011878,           0.0055819,           0.0055819,           0.0055819
                  82,            0.032463,            0.035656,           0.0068165,             0.74707,             0.49824,             0.61214,             0.38158,             0.03574,            0.024749,            0.012823,           0.0054987,           0.0054987,           0.0054987
                  83,            0.033635,            0.038755,           0.0058124,             0.56612,             0.66695,              0.6064,              0.3759,            0.035229,            0.025347,            0.012976,           0.0054157,           0.0054157,           0.0054157
                  84,            0.035011,            0.037296,           0.0073057,             0.60819,             0.68701,             0.62481,             0.38373,            0.033998,            0.024711,            0.013099,           0.0053329,           0.0053329,           0.0053329
                  85,            0.032809,            0.031487,           0.0049455,             0.65404,             0.63028,             0.64894,             0.40123,            0.034804,            0.024167,            0.013193,           0.0052505,           0.0052505,           0.0052505
                  86,            0.032976,            0.043329,           0.0056106,             0.62287,             0.66972,             0.59362,             0.35979,            0.035314,            0.025443,            0.013365,           0.0051684,           0.0051684,           0.0051684
                  87,            0.033001,            0.042275,           0.0053057,             0.66533,             0.61946,             0.62006,              0.3971,            0.033403,            0.025481,             0.01256,           0.0050866,           0.0050866,           0.0050866
                  88,            0.035803,            0.046204,           0.0052961,             0.68413,             0.57324,             0.66256,             0.34878,            0.037229,            0.025289,            0.011025,           0.0050052,           0.0050052,           0.0050052
                  89,            0.036009,             0.04337,           0.0050611,             0.52552,             0.70141,             0.63437,             0.36836,            0.035016,            0.025513,            0.011248,           0.0049243,           0.0049243,           0.0049243
                  90,            0.032344,            0.037509,           0.0049853,             0.55274,             0.69437,             0.64978,             0.39672,            0.033833,            0.025154,            0.011303,           0.0048439,           0.0048439,           0.0048439
                  91,            0.033038,            0.036474,           0.0045397,             0.52832,             0.77798,             0.65428,             0.40158,            0.035083,            0.024537,             0.01168,           0.0047639,           0.0047639,           0.0047639
                  92,             0.03184,            0.040685,           0.0048118,             0.55817,             0.75141,             0.66938,              0.4061,            0.034356,            0.024014,            0.011853,           0.0046845,           0.0046845,           0.0046845
                  93,            0.030807,            0.040485,           0.0049322,             0.56286,             0.76434,              0.6674,             0.41326,            0.033353,            0.024334,            0.011553,           0.0046057,           0.0046057,           0.0046057
                  94,            0.029928,            0.034666,           0.0043166,             0.56258,             0.77235,             0.66809,              0.4166,            0.033848,            0.023861,            0.011578,           0.0045275,           0.0045275,           0.0045275
                  95,            0.031372,            0.030906,            0.003555,             0.57724,             0.76549,             0.67997,             0.42479,            0.034486,            0.024228,             0.01155,           0.0044499,           0.0044499,           0.0044499
                  96,            0.029139,            0.034773,           0.0042313,             0.61072,             0.71389,             0.68416,             0.42903,            0.032656,            0.024284,            0.011484,           0.0043731,           0.0043731,           0.0043731
                  97,            0.029828,            0.034951,           0.0038079,             0.57469,             0.80493,             0.67632,             0.42834,            0.032071,            0.024039,            0.011268,           0.0042969,           0.0042969,           0.0042969
                  98,            0.029877,            0.038435,           0.0036903,             0.66015,             0.73028,             0.69561,             0.42639,            0.032716,            0.024479,            0.011286,           0.0042215,           0.0042215,           0.0042215
                  99,            0.029961,            0.040013,            0.003543,             0.60274,             0.78259,             0.68735,             0.42363,            0.032304,            0.024465,            0.010613,           0.0041468,           0.0041468,           0.0041468
